patent_id,patent_number,title,abstract,inventors,assignee,filing_date,publication_date,grant_date,patent_status,jurisdiction,classification_ipc,classification_cpc,claims_count,independent_claims,priority_country,priority_date,patent_family_size,forward_citations,backward_citations,technology_area,therapeutic_indication,related_compounds,key_claims,commercial_status,licensing_available,estimated_value_usd,expiration_date,related_projects,vector_embedding_model,created_at
PAT-2024-001,US20240123456A1,"Diphenyl Pyrrolidine Derivatives as Beta-Amyloid Oligomer Inhibitors for Treatment of Alzheimer's Disease","The present invention relates to novel diphenyl pyrrolidine derivatives, pharmaceutical compositions thereof, and their use in treating neurodegenerative diseases, particularly Alzheimer's disease. Compound of Formula I comprises a central pyrrolidine ring substituted with diphenyl groups bearing urea linkages to fluorophenyl moieties. The compounds exhibit potent inhibition of β-amyloid (Aβ) oligomerization with IC50 values in the low nanomolar range (0.8-5.2 nM). Lead compound Neuroclear-28 demonstrates exceptional blood-brain barrier permeability (Log BB = 0.82, brain/plasma ratio 3.4) and reduces cortical Aβ plaque burden by 67% in APP/PS1 transgenic mice. Structure-activity relationship studies reveal critical hydrogen bonding between the fluorophenyl urea and Aβ His13/His14 residues. Pharmaceutical compositions for oral administration with bioavailability >65% are disclosed. Methods of treatment comprise administering 25-100 mg BID in patients with mild to moderate Alzheimer's disease.","Martinez Elena A.; Chen Jun; Patel Rajesh K.; Thompson Karen L.; Wilson David S.","Pharma-Medicines Research Corp.",2023-06-15,2024-01-18,2024-09-25,Granted,United States,"A61K 31/4545; C07D 207/335; A61P 25/28","A61K 31/4545; C07D 207/335; A61P 25/28; A61K 9/20",42,8,US,2023-06-15,18,12,87,Pharmaceutical Chemistry | Neuroscience,Alzheimer's Disease | Neurodegeneration | Cognitive Impairment,Neuroclear-28 | Donepezil | Memantine,"Claim 1: Compound of Formula I wherein R1=fluorophenyl urea, R2=diphenyl substituted pyrrolidine, IC50 <5 nM for Aβ oligomerization; Claim 8: Neuroclear-28 specific structure; Claim 23: Pharmaceutical composition 25-100 mg with excipients; Claim 35: Method of treatment in mild-moderate AD patients",Phase III Clinical | Commercial Partnership Pending,Exclusive Licensing Available,450000000,2043-06-15,PROJ-I9J0K1L2,text-embedding-3-small,2024-01-18T10:00:00Z
PAT-2024-002,WO2024045678A1,"Modified Taxane Formulations with Enhanced Tumor Penetration and Reduced Systemic Toxicity","The invention provides novel taxane formulations comprising paclitaxel or docetaxel conjugated to tumor-penetrating peptides (TPPs) and encapsulated in pH-sensitive liposomes. The formulation achieves 8.6-fold higher tumor accumulation compared to conventional Cremophor-based paclitaxel while reducing systemic exposure by 73%. Liposomal composition comprises DSPC:cholesterol:DSPE-PEG2000:DSPE-PEG-TPP at molar ratio 55:40:3:2 with mean diameter 95-120 nm. TPP sequences include iRGD (CRGDKGPDC) and LyP-1 (CGNKRTRGC) targeting αvβ3 integrin and p32 receptors. In triple-negative breast cancer xenografts (MDA-MB-231), PTX-TPP-liposomes achieved 78% tumor growth inhibition vs 43% for standard paclitaxel at equivalent doses. Peripheral neuropathy incidence reduced from 34% to 9%. Pharmacokinetic studies demonstrate AUC tumor:plasma ratio of 12.3 vs 2.1 for conventional formulation. Manufacturing process employs thin-film hydration with remote loading achieving drug:lipid ratio of 1:10 (w/w) and encapsulation efficiency >92%. Compositions suitable for IV infusion in oncology indications.","Zhang Li; Kumar Vikram; Williams Janet R.; Brown Elizabeth K.; Davis Nathan","OncoTherapeutics Global Ltd.",2023-08-22,2024-02-29,,Published - Pending Examination,PCT International,"A61K 9/127; A61K 47/69; A61K 31/337","A61K 9/127; A61K 47/69; A61K 31/337; A61K 47/48",56,12,CN,2023-03-10,24,8,134,Drug Delivery | Nanotechnology | Oncology,Breast Cancer | Ovarian Cancer | Lung Cancer | Pancreatic Cancer,Paclitaxel | Docetaxel | iRGD-Paclitaxel,"Claim 1: Liposomal taxane composition with TPP targeting ligands DSPC:chol:PEG-TPP 55:40:5; Claim 12: iRGD and LyP-1 peptide sequences for tumor targeting; Claim 28: pH-sensitive release mechanism at tumor microenvironment pH 6.5; Claim 45: Manufacturing method with >92% encapsulation efficiency; Claim 52: Method of treatment with reduced neuropathy",Preclinical | Phase I Planned,Joint Development Partnership Sought,280000000,2043-08-22,COMP-ONC-045,text-embedding-3-small,2024-02-29T14:30:00Z
PAT-2024-003,EP4234567A1,"Extended-Release Metformin Compositions with Improved Gastrointestinal Tolerability and Pharmacokinetic Profile","Novel extended-release metformin hydrochloride formulations utilizing dual-layer matrix technology providing sustained plasma concentrations over 16-18 hours with single daily dosing. Inner core comprises metformin HCl 1000 mg with hydrophilic polymers (HPMC K100M, 25% w/w) and pH-independent release mechanism. Outer barrier layer contains enteric polymers (Eudragit L100-55, 12% w/w) delaying gastric release and minimizing GI side effects. In vitro dissolution studies demonstrate lag time of 2 hours followed by zero-order release (92% at 16h). Comparative pharmacokinetics in healthy volunteers (n=48, crossover design) showed Cmax 1890 ng/mL at Tmax 6h, AUC0-24 non-inferior to twice-daily immediate-release reference. Steady-state plasma concentrations maintained above therapeutic threshold (1200 ng/mL) for 14 hours. Clinical study in type 2 diabetes patients (n=234) demonstrated equivalent HbA1c reduction (-1.3% vs -1.4%, p=0.82) with 64% reduction in GI adverse events (18% vs 42%, p<0.001). Manufacturing employs direct compression with simplified process vs marketed products. Compositions suitable for treatment of T2DM, PCOS, and potential longevity applications.","Wilson James R.; Patel Maya; Anderson Karen; Roberts David M.","Pharma-Medicines Research Corp.",2023-11-08,2024-05-15,,Published - Under Examination,European Patent Office,"A61K 9/22; A61K 31/155; A61P 3/10","A61K 9/22; A61K 31/155; A61P 3/10; A61K 9/20",38,9,US,2023-05-20,15,5,76,Pharmaceutical Formulation | Drug Delivery,Type 2 Diabetes | PCOS | Metabolic Syndrome | Longevity,Metformin | Extended-Release Metformin,"Claim 1: Dual-layer metformin formulation with HPMC K100M core and Eudragit L100-55 barrier; Claim 9: Lag time 2h then zero-order release maintaining levels 14h; Claim 18: 64% reduction in GI adverse events vs immediate-release; Claim 27: Single daily dosing equivalent to BID immediate-release; Claim 35: Method of treatment in T2DM with improved compliance",Late-Stage Development | Regulatory Filing Prepared,Manufacturing License Negotiable,125000000,2043-11-08,PROJ-M3N4O5P6,text-embedding-3-small,2024-05-15T11:20:00Z
PAT-2024-004,US11234567B2,"Neuraminidase Inhibitor Prodrugs with Enhanced Oral Bioavailability for Influenza Treatment","The invention relates to phosphonate prodrugs of neuraminidase inhibitors exhibiting superior oral bioavailability and tissue distribution. Oseltamivir phosphate derivatives with amino acid promoieties (L-alanine, L-valine, L-phenylalanine) are converted by intestinal peptidases to active carboxylate forms. Lead compound OTV-Pro-Val demonstrates 2.8-fold higher oral bioavailability (F=89% vs 32% for oseltamivir) with Cmax 4567 ng/mL at Tmax 2.5h. Lung tissue concentrations exceed plasma by 6.2-fold (AUC lung:plasma = 6.2) providing targeted delivery to site of infection. In vitro activity against H1N1, H3N2, and influenza B neuraminidases: IC50 values 1.2-4.8 nM including H275Y resistant strains (IC50 3.8 nM vs 1125 nM for oseltamivir). Ferret transmission model demonstrates 95% protection against influenza A challenge vs 67% for standard oseltamivir therapy. Viral load reduced 3.2 log10 TCID50/mL in nasal washes. Clinical development pathway established with IND-enabling studies completed. Synthetic route employs phosphoramidite coupling with 78% overall yield. Compositions for oral suspension and tablet formulations disclosed.","Lee Sung Hee; Tanaka Yuki; Smith Jennifer W.; O'Brien Kevin P.","ViroPharm Innovations Inc.",2022-09-30,2023-06-20,2024-03-12,Granted,United States,"C07F 9/6561; A61K 31/66; A61P 31/16","C07F 9/6561; A61K 31/66; A61P 31/16; C07C 229/34",47,11,JP,2021-12-15,22,34,112,Medicinal Chemistry | Virology | Prodrug Design,Influenza | Pandemic Preparedness | Antiviral Therapy,Oseltamivir | OTV-Pro-Val | Zanamivir | Peramivir,"Claim 1: Phosphonate prodrug structure with amino acid promoiety conferring enhanced bioavailability; Claim 11: OTV-Pro-Val specific compound F=89%, lung:plasma AUC=6.2; Claim 23: Activity against oseltamivir-resistant H275Y mutant IC50=3.8 nM; Claim 35: Method of treatment 150 mg BID for 5 days in influenza patients; Claim 44: Pharmaceutical composition oral suspension 12 mg/mL",Phase II Clinical | Fast Track Designation,Strategic Partnership Opportunities,320000000,2042-09-30,PROJ-A1B2C3D4,text-embedding-3-small,2024-03-12T16:45:00Z
PAT-2024-005,CN115234567A,"Third-Generation EGFR Tyrosine Kinase Inhibitors Selective for T790M Resistance Mutation","The present invention discloses novel pyrimidine-based EGFR inhibitors with exquisite selectivity for T790M resistance mutation over wild-type EGFR, reducing on-target toxicity in normal tissues. Compound ERL-301 exhibits IC50 of 0.3 nM against EGFR L858R/T790M, 0.5 nM against exon19del/T790M, while maintaining 180-fold selectivity over wild-type EGFR (IC50 54 nM). Crystal structure co-complex reveals covalent bonding with Cys797 and unique interactions with Met790 in ATP-binding pocket. In H1975 NSCLC xenograft model (L858R/T790M), ERL-301 achieves complete tumor regression at 25 mg/kg QD with tumor growth inhibition 94%. Patient-derived xenograft panel (n=18 T790M+ tumors) shows 83% response rate. Selectivity profile minimizes skin rash (grade ≥2: 8% vs 47% for erlotinib) and diarrhea (12% vs 39%). Pharmacokinetic properties: oral bioavailability 73%, T1/2 48 hours enabling once-daily dosing, brain penetration Kp,brain 0.89 for CNS metastases. Addresses unmet need in erlotinib/gefitinib-resistant EGFR-mutant NSCLC. Clinical candidate nomination completed with Phase I study initiated.","Tanaka Masato; Kumar Ravi; Singh Rajesh; Liu Xin","PrecisionOncology Therapeutics AG",2023-04-18,2024-07-25,,Published - Substantive Examination,China National IP Administration,"C07D 239/47; A61K 31/506; A61P 35/00","C07D 239/47; A61K 31/506; A61P 35/00; C07D 401/14",52,13,US,2022-10-05,19,18,145,Medicinal Chemistry | Precision Oncology | Kinase Inhibitors,Non-Small Cell Lung Cancer | EGFR T790M Resistance,ERL-301 | Erlotinib | Osimertinib | Gefitinib,"Claim 1: Pyrimidine scaffold with covalent Cys797 binding and 180-fold WT selectivity; Claim 13: ERL-301 structure with IC50 0.3 nM L858R/T790M, 54 nM WT-EGFR; Claim 28: Minimized skin toxicity 8% vs 47% for 1st-gen TKIs; Claim 39: Brain penetration Kp 0.89 for CNS metastases; Claim 48: Method of treatment 50-100 mg QD in T790M+ NSCLC post-progression",Phase I Clinical | Orphan Drug Designation,Out-Licensing for Major Markets,540000000,2043-04-18,COMP-ONC-045,text-embedding-3-small,2024-07-25T10:15:00Z
PAT-2024-006,WO2024067890A2,"DPP-4 Inhibitor and SGLT2 Inhibitor Fixed-Dose Combination for Synergistic Glucose Control in Type 2 Diabetes","The invention provides fixed-dose combination tablets comprising a DPP-4 inhibitor (sitagliptin 50-100 mg) and an SGLT2 inhibitor (dapagliflozin 5-10 mg) for once-daily administration in type 2 diabetes. Combination leverages complementary mechanisms: DPP-4 inhibition enhances incretin-mediated insulin secretion while SGLT2 inhibition promotes glucose excretion independent of insulin. Clinical study (n=687 T2DM patients, HbA1c 8.1-10.2%) demonstrated superior glycemic control vs monotherapies: HbA1c reduction -2.1% combination vs -1.1% sitagliptin alone vs -1.3% dapagliflozin alone (p<0.001). Synergistic weight reduction: -4.2 kg combination vs -0.3 kg sitagliptin vs -2.8 kg dapagliflozin. Cardiovascular benefits additive: blood pressure reduction 7.4/4.2 mmHg. Hypoglycemia rates remained low (2.3%) comparable to monotherapies. Formulation employs bilayer tablet technology: immediate-release SGLT2i layer and extended-release DPP-4i layer maintaining sitagliptin Cmin above IC50. Stability data supports 36-month shelf life at 25°C/60% RH. Improves medication adherence by reducing pill burden from 2-3 daily medications to single tablet. Marketing applications filed in US, EU, Japan.","Patel Neha R.; Wilson Katherine; Anderson Lisa M.; Chang Edward","GlycemicControl Pharmaceuticals",2023-07-12,2024-08-08,,Published - International Phase,PCT International,"A61K 31/4015; A61K 31/4709; A61P 3/10","A61K 31/4015; A61K 31/4709; A61P 3/10; A61K 9/20",41,10,IN,2023-02-28,27,9,98,Pharmaceutical Combinations | Metabolic Diseases,Type 2 Diabetes | Obesity | Cardiovascular Risk Reduction,Sitagliptin | Dapagliflozin | Metformin,"Claim 1: Fixed-dose combination sitagliptin 50-100 mg + dapagliflozin 5-10 mg single tablet; Claim 9: Synergistic HbA1c reduction -2.1% exceeding additive effects; Claim 18: Weight loss -4.2 kg and BP reduction -7.4/4.2 mmHg; Claim 27: Bilayer formulation with differential release kinetics; Claim 38: Method of treatment QD dosing with improved adherence",NDA Filed | Priority Review Requested,Co-Marketing Partnerships Available,380000000,2043-07-12,PROJ-M3N4O5P6,text-embedding-3-small,2024-08-08T13:30:00Z
PAT-2024-007,US20240234567A1,"Multi-Kinase Inhibitor Combinations for Overcoming Resistance in Hepatocellular Carcinoma","The invention relates to combinations of multi-kinase inhibitors with FGF19/FGFR4 pathway inhibitors for treatment of sorafenib-resistant hepatocellular carcinoma. Preclinical studies identified FGF19 amplification and FGFR4 activation as primary resistance mechanisms. Combination of sorafenib (400 mg BID) with selective FGFR4 inhibitor FGF-401 (300 mg QD) demonstrates synergistic anti-tumor activity in FGF19-amplified HCC models. In HuH7-SR resistant cell line, combination reduces IC50 from >10 µM (sorafenib alone) to 125 nM (CI=0.23, strong synergy). Patient-derived xenografts with FGF19 amplification show tumor growth inhibition 89% vs 34% sorafenib monotherapy. Molecular mechanisms include dual blockade of VEGFR2/RAF and FGFR4/FRS2/MAPK pathways preventing compensatory signaling. Biomarker strategy employs FGF19 IHC and plasma levels (>200 pg/mL) for patient selection. Phase Ib/II trial design enrolls sorafenib-refractory HCC patients with FGF19 amplification/overexpression. Pharmacokinetic studies confirm no drug-drug interactions with AUC ratios 0.95-1.08. Safety profile manageable with palmar-plantar erythrodysesthesia (23%) and diarrhea (31%) most common. Addresses critical unmet need in second-line HCC therapy.","Lee Kyung Hee; Rodriguez Elena; Silva Roberto; Johnson Mark","HepatoPharma Research GmbH",2023-10-20,2024-09-28,,Published - Non-Final Rejection,United States,"A61K 31/4184; A61K 45/06; A61P 35/00","A61K 31/4184; A61K 45/06; A61P 35/00; C07D 401/14",35,8,DE,2023-05-15,12,7,89,Combination Therapy | Oncology | Precision Medicine,Hepatocellular Carcinoma | Liver Cancer | Sorafenib Resistance,Sorafenib | FGF-401 | Regorafenib,"Claim 1: Combination sorafenib 400 mg BID + FGFR4 inhibitor 200-400 mg QD; Claim 8: Synergistic activity in FGF19-amplified tumors CI=0.23; Claim 16: Patient selection by FGF19 IHC or plasma levels >200 pg/mL; Claim 24: Dual pathway blockade VEGFR2/RAF and FGFR4/MAPK; Claim 31: Method of treatment in sorafenib-refractory HCC patients",Phase Ib/II Clinical | Fast Track Designation,Collaborative Development Interest,210000000,2043-10-20,COMP-ONC-045,text-embedding-3-small,2024-09-28T15:00:00Z
PAT-2024-008,JP2024123456A,"Statin Nanoparticle Formulations for Enhanced Pleiotropic Effects and Targeted Delivery","The present invention provides nanoparticle formulations of statins (atorvastatin, rosuvastatin) engineered for enhanced pleiotropic effects including anti-inflammatory and neuroprotective activities. Nanoparticles comprise biodegradable PLGA core (MW 50-75 kDa, 50:50 lactide:glycolide) encapsulating atorvastatin at 15% w/w loading with surface modification using poloxamer 188 and phosphatidylserine for macrophage targeting. Mean particle size 150-180 nm with PDI <0.15 and zeta potential -18 mV. In LPS-stimulated macrophage model, atorvastatin-NPs reduce TNF-α by 78% and IL-6 by 82% vs 45% and 51% for free drug. Atherosclerotic plaque macrophage uptake increased 8.4-fold with 67% reduction in plaque inflammation (MMP-9, VCAM-1). Neuroprotective effects in cerebral ischemia-reperfusion model: infarct volume reduced 58% with NP formulation vs 31% free atorvastatin. Pharmacokinetic advantages: AUC plaque:plasma 14.2 vs 2.8, prolonged circulation T1/2 18h vs 6h. Manufacturing employs nanoprecipitation method with reproducible quality attributes. Applications in atherosclerosis, stroke prevention, and neuroinflammatory conditions. Formulations suitable for IV or subcutaneous administration.","Nakamura Takeshi; Kim Seung; Patel Arun; Johnson Rebecca","NanoCardio Therapeutics KK",2023-12-05,2024-10-15,,Published - Request for Examination,Japan Patent Office,"A61K 9/51; A61K 31/4166; A61P 9/10","A61K 9/51; A61K 31/4166; A61P 9/10; A61K 47/34",44,10,JP,2023-12-05,8,11,67,Nanomedicine | Drug Delivery | Cardiovascular,Atherosclerosis | Stroke | Neuroinflammation | Plaque Stabilization,Atorvastatin | Rosuvastatin | PLGA-Atorvastatin,"Claim 1: PLGA nanoparticle 150-180 nm with atorvastatin 15% w/w and PS surface modification; Claim 10: Macrophage targeting with 8.4-fold plaque uptake vs free drug; Claim 19: Anti-inflammatory effects TNF-α -78%, IL-6 -82% in macrophages; Claim 28: Neuroprotection in stroke model 58% infarct reduction; Claim 40: Method of treatment IV/SC for atherosclerosis and stroke prevention",Preclinical | IND Preparation,Technology Transfer and Licensing,165000000,2043-12-05,PROJ-Q7R8S9T0,text-embedding-3-small,2024-10-15T11:45:00Z
PAT-2024-009,EP4345678A1,"Anthracycline Cardioprotective Compositions Comprising Mitochondria-Targeted Antioxidants","The invention addresses anthracycline-induced cardiotoxicity through co-administration of mitochondria-targeted antioxidants with doxorubicin or daunorubicin chemotherapy. Composition comprises doxorubicin (60 mg/m² IV) with triphenylphosphonium-conjugated antioxidant MitoQ (160 mg oral QD) providing selective delivery to cardiac mitochondria. Mechanism involves scavenging of anthracycline-generated ROS, inhibition of mitochondrial permeability transition, and preservation of mitochondrial membrane potential. Preclinical studies in rodent cancer models demonstrate 73% reduction in cardiac troponin elevation, preservation of left ventricular ejection fraction (59% vs 42% doxorubicin alone), and maintained oncologic efficacy (tumor growth inhibition 87% vs 89%, p=0.78). Electron microscopy reveals preserved mitochondrial ultrastructure in cardiomyocytes. Clinical biomarker study (n=156 breast cancer patients) shows reduced early troponin elevation (<72h: 12% vs 38%, p<0.001), decreased incidence of asymptomatic LV dysfunction at 1 year (6% vs 19%, p=0.009). Global longitudinal strain preserved (-18.2% vs -14.3%). Long-term cardiac surveillance demonstrates sustained benefit with heart failure incidence 1.2% vs 5.8% at 5 years. Enables treatment of cancer patients at risk for cardiotoxicity without compromising chemotherapy efficacy.","Kumar Ajay; Wilson Derek M.; Zhang Lei; Patel Nisha","Cardio-Oncology Innovations Ltd.",2023-09-15,2024-11-20,,Published - Examining,European Patent Office,"A61K 31/704; A61K 45/06; A61P 9/04","A61K 31/704; A61K 45/06; A61P 9/04; A61K 31/337",39,9,GB,2023-03-22,16,13,91,Cardio-Oncology | Drug Combinations | Cardioprotection,Breast Cancer | Cardiotoxicity Prevention | Heart Failure,Doxorubicin | MitoQ | Dexrazoxane | Daunorubicin,"Claim 1: Combination doxorubicin 60 mg/m² IV + mitochondria-targeted antioxidant MitoQ 160 mg PO; Claim 9: 73% reduction in cardiac troponin elevation during chemotherapy; Claim 17: Preserved LVEF 59% vs 42% at end of treatment; Claim 26: Maintained oncologic efficacy TGI 87% vs 89% monotherapy; Claim 35: Method of cardioprotection in cancer patients receiving anthracyclines",Phase II Clinical | Breakthrough Therapy Potential,Global Licensing Opportunities,295000000,2043-09-15,PROJ-E5F6G7H8,text-embedding-3-small,2024-11-20T14:20:00Z
PAT-2024-010,US20240345678A1,"ACE Inhibitor Prodrugs with Improved Tissue Penetration for Cardiovascular and Renal Protection","The invention provides novel prodrugs of ACE inhibitors with enhanced tissue distribution to cardiovascular and renal targets. Lisinopril conjugated to lipophilic promoieties via ester linkages undergoes esterase-mediated activation in target tissues. Lead compound LIS-Pro-Oct demonstrates 4.2-fold higher cardiac tissue concentration and 6.8-fold higher renal cortex levels vs lisinopril. Mechanism involves increased passive diffusion across cell membranes followed by intracellular activation. In spontaneously hypertensive rats, LIS-Pro-Oct achieves superior blood pressure reduction (systolic BP: -42 mmHg vs -28 mmHg lisinopril, p=0.003) with equivalent plasma ACE inhibition suggesting enhanced tissue ACE blockade. Renoprotection enhanced in diabetic nephropathy model: albuminuria reduced 79% vs 52% lisinopril, glomerular sclerosis score improved (1.2 vs 2.4). Cardiac remodeling markers improved: LV mass index -18% vs -9%, cardiac fibrosis reduced 68% vs 41%. Pharmacokinetic profile: prodrug T1/2 2.1h, active metabolite (lisinopril) T1/2 12h, tissue retention exceeds plasma by 8-14 fold. Addresses limitations of polar ACE inhibitors with poor tissue penetration. Formulations for oral and IV administration disclosed.","Anderson Brian R.; Roberts Karen; Martinez Carlos; Patel Deepak","Renova Cardiovascular Pharma Inc.",2023-11-28,2024-12-05,,Published - Awaiting Examination,United States,"C07K 5/06; A61K 38/06; A61P 9/12","C07K 5/06; A61K 38/06; A61P 9/12; A61P 13/12",48,11,US,2023-11-28,9,4,58,Prodrug Design | Cardiovascular | Nephrology,Hypertension | Heart Failure | Diabetic Nephropathy | Renal Protection,Lisinopril | LIS-Pro-Oct | Enalapril | Ramipril,"Claim 1: Lisinopril prodrug with lipophilic promoiety conferring enhanced tissue distribution; Claim 11: LIS-Pro-Oct with 4.2-fold cardiac and 6.8-fold renal enrichment; Claim 22: Superior BP reduction -42 mmHg vs -28 mmHg parent drug; Claim 33: Enhanced renoprotection: albuminuria -79%, reduced glomerulosclerosis; Claim 45: Method of treatment in hypertension and diabetic nephropathy",Lead Optimization | IND-Enabling Studies,Development Partnership Sought,145000000,2043-11-28,PROJ-Q7R8S9T0,text-embedding-3-small,2024-12-05T16:30:00Z