project_id,project_name,lead_scientist,department,therapeutic_area,priority,budget,budget_spent,team_size,start_date,expected_end_date,status,completion_percentage,description,objectives,created_at
PROJ-A1B2C3D4,Novel Antibiotic Development,Dr. Sarah Chen,Drug Discovery,Infectious Diseases,high,2500000,875000,12,2024-01-15,2026-06-30,active,45,Development of broad-spectrum antibiotic targeting resistant bacteria,Identify lead compounds with novel mechanisms of action against MRSA and other resistant pathogens,2024-01-10T09:00:00Z
PROJ-E5F6G7H8,CAR-T Cell Therapy Optimization,Dr. Michael Rodriguez,Molecular Biology,Oncology,high,3200000,1280000,18,2023-09-01,2026-03-31,active,62,Optimizing CAR-T cell therapy for solid tumors,Enhance CAR-T cell persistence and tumor penetration in solid tumor microenvironment,2023-08-25T10:30:00Z
PROJ-I9J0K1L2,Alzheimer's Disease Biomarker,Dr. Emily Watson,Clinical Research,Neurology,high,1800000,945000,8,2024-03-01,2025-12-31,active,55,Discovery and validation of early-stage Alzheimer's biomarkers,Develop blood-based test for early AD detection using proteomics,2024-02-20T14:15:00Z
PROJ-M3N4O5P6,Insulin Resistance Reversal,Dr. James Park,Pharmacology,Endocrinology,medium,1500000,600000,10,2024-06-01,2026-12-31,active,28,Novel small molecule targeting insulin receptor sensitization,Restore insulin sensitivity in Type 2 diabetes through novel pathway modulation,2024-05-15T11:00:00Z
PROJ-Q7R8S9T0,Cardiac Fibrosis Inhibitor,Dr. Lisa Thompson,Drug Discovery,Cardiovascular,high,2100000,1050000,14,2023-11-01,2025-10-31,active,68,Development of anti-fibrotic agent for heart failure,Block TGF-beta pathway to prevent cardiac remodeling post-MI,2023-10-20T08:45:00Z
PROJ-U1V2W3X4,Asthma Biologics Platform,Dr. David Kumar,Formulation Development,Respiratory,medium,1200000,360000,7,2024-08-01,2026-07-31,active,22,Inhaled biologic formulation for severe asthma,Develop stable inhaled antibody formulation targeting IL-5/IL-13,2024-07-25T13:20:00Z
PROJ-Y5Z6A7B8,Neuropathic Pain Target,Dr. Rachel Green,Pharmacology,Neurology,high,1900000,855000,11,2024-02-01,2025-11-30,active,52,Novel non-opioid treatment for neuropathic pain,Identify and validate Nav1.7 channel modulator for chronic pain,2024-01-28T09:30:00Z
PROJ-C9D0E1F2,Microbiome Therapeutics,Dr. Robert Zhang,Bioinformatics,Immunology,medium,1350000,472500,9,2024-04-15,2026-04-14,active,38,Targeted microbiome modulation for autoimmune diseases,Engineer probiotic strains for IBD and rheumatoid arthritis treatment,2024-04-10T10:00:00Z
PROJ-G3H4I5J6,Viral Vector Gene Therapy,Dr. Amanda Lee,Molecular Biology,Oncology,high,2800000,1400000,16,2023-07-01,2025-12-31,active,72,AAV-based gene therapy for inherited retinal diseases,Develop safe and efficient AAV vector for RPE65 gene delivery,2023-06-25T11:45:00Z
PROJ-K7L8M9N0,Antimalarial Drug Resistance,Dr. Christopher Brown,Drug Discovery,Infectious Diseases,medium,980000,441000,6,2024-05-01,2025-10-31,on_hold,42,Overcome artemisinin resistance in Plasmodium falciparum,Identify combination therapy to prevent resistance emergence,2024-04-28T14:00:00Z